Title,Content,Category
 11-15 октябрҙә Өфөлә Башҡорт теленән олимпиада үтә ,"

11-15 октябрҙә Башҡорт телен һаҡлау һәм үҫтереү ойошмаһы һәм ""УМАЙ"" этномәҙәни мираҫты һаҡлау һәм үҫтереү буйынса ойошма башҡорт теле буйынса олимпиада үткәрә. Был проект Башҡортостан Республикаһының Граждандар йәмғиәтенә булышлыҡ итеү фонды ярҙамында тормошҡа ашырыла.
Олимпиадала ҡатнашыусылар өсөн төрлө ҡатмарлыҡтағы һорауҙар менән онлайн-тест формаһында эштәр әҙерләнгән:
1. Башланғыс кимәл - башҡорт телен яңы өйрәнә башлаған ҡатнашыусылар өсөн;
2. Ирекле кимәл - башҡорт телендә иркен аралашҡан ҡатнашыусылар өсөн;
3. Башҡорт теле диалекттары менән ҡыҙыҡһынған ҡатнашыусылар өсөн диалекттар темаһына һорауҙар.
Олимпиаданың сайты: http://basholimpiada.ru
 ",мәҙәниәт
 Минскиҙа Башҡортостан әҙәбиәте көндәре үтте ,"

  Башҡортостан менән Беларусь араһындағы күптәнге мәҙәни бәйләнештәр Минскиҙа үткән Башҡорт әҙәбиәте көндәренә ярашлы дауам итә. Унда өс көнлөк ижади сәфәр менән Өфөнән 12 яҙыусы юлланды. 




 - Улар – республика әҙәбиәтенә тос өлөш индергән кешеләр – әҙәби журналдарҙың баш мөхәррирҙәре, шағирҙар һәм прозаиктар, – тине Башҡортостан Яҙыусылар союзы рәйесе, Башҡортостан Республикаһы Дәүләт Йыйылышы – Ҡоролтай депутаты Айгиз Баймөхәмәтов.

Яҙыусылар ҙур мәҙәни программала – түңәрәк өҫтәлдәр, концерттар, Еңеү майҙанындағы монумент-обелискҡа сәскәләр һалыу һәм башҡа сараларҙа ҡатнашты. Мәҙәниәттең төрлө өлкәләрендә – нәшриәт һәм музей проекттарында, китапхана эшендә, кинематография, театр, музыка һәм һынлы сәнғәт өлкәһендә артабан хеҙмәттәшлек итеү маҡсатында профессиональ бәйләнештәр булдырҙы.
Сара алдынан Башҡортостан яҙыусылары әҫәрҙәренең тәржемәләре белорус баҫмаларында сыға. Ә Башҡортостандың иһә белорус коллегаларының шиғырҙары һәм прозаһы рус һәм башҡорт телдәрендә баҫтырылған.
Башҡортостан әҙәбиәте көндәренең иң ҙур ваҡиғаһы булып 11 октябрь – Башҡортостан Республикаһы көнө торҙо. Был көндә Минскиҙа Башҡортостан менән Белоруссияның дуҫлығына арналған әҙәби-музыкаль кисә үтте.
Программала Белоруссияны яҡлаған башҡорт яугирҙәре һәм ике республиканың да классик яҙыусылары иҫтәлегенә арналған сараларға айырым урын бирелде.
Башҡортостандың Яҙыусылар союзы әлеге ваҡытта башҡорт телендә белорус әҙәбиәте антологияһын төҙөү буйынса ҙур эш алып бара. Белоруссияның иң яҡшы хәҙерге заман яҙыусыларының әҫәрҙәре - башҡорт теленә, ә  башҡорт әҙәбиәте антологияһы белорус теленә тәржемә ителәсәк. Ике баҫманың да презентацияһы киләһе йылда үтәсәк.


 


 
 ",мәҙәниәт
 Будапешта башҡорт спектаклен күрһәттеләр ,"

М. Ғафури исемендәге Башҡорт академия драма театры Х Халыҡ-ара театр олимпиадаһында ҡатнаша. Будапешт ҡалаһы халҡы «Джут» спектаклен яратып ҡараны. Башдрам Рәсәй данын яҡлаған берҙән-бер театр булды. Башҡорт спектакле олимпиадаға илебеҙҙән ебәрелгән 95 ғариза араһынан һайлап алынған.

— Спектаклде башҡорт телендә уйнанылар, рус һәм венгр теленә тәржемәһе сәхнә аҫтында махсус паннелдә күрһәтелде. Венгр тамашасыһы спектаклде бик йылы ҡабул итте һәм актерҙарға оҙаҡ аяғүрә алҡышланы. Республика етәкселегенә ҙур театр форумында ҡатнашыуға мөмкинлек биргәне өсөн рәхмәт, — тип хәбәр итә театрҙың матбуғат секретары Динара Ҡәйүмова.

Спектаклдән һуң матбуғат конференцияһы ойошторолдо. Унда тамаша, башҡорт мәҙәниәте хаҡында әңгәмә ҡоролдо. Башҡортостандың халыҡ артисы Хөрмәтулла Үтәшев венгр һәм башҡорт халҡының уртаҡ тамырҙары хаҡында һөйләне. Театр актеры Фәнис Рәхмәтов ҡурайҙа «Урал» халыҡ йырын уйнап ишеттерҙе.
 ",мәҙәниәт
 Шәйехзада Бабич исемендәге республика дәүләт йәштәр премияһы лауреаттары билдәле ,"

Башҡортостанда 2021-2022 йыл­дарҙа әҙәбиәт, сәнғәт һәм архитектура өлкәһендәге Шәйехзада Бабич исемендәге республика дәүләт йәштәр премияһы лауреаттары тәбрикләнде.
Бына улар:
Кристина Андрианова — «Триста сарматов», «Пятьдесят пять историй одного толмача» шиғри йыйын­тыҡтары һәм нәфис тәржемәне үҫтереүгә индергән өлөшө өсөн;
Лиана Мкртчян, Резеда Таһирова — һынлы сәнғәт өлкәһендәге «Минең Ватаным — минең ерем» ижади проекты өсөн;
Илнур Хәйруллин — башҡорт музыка сәнғәтен пропагандалағаны һәм милли уйын ҡоралы ҡурайҙы популярлаштырғаны өсөн.
 ",мәҙәниәт
 Сибай дәүләт башҡорт драма театры  “Фронтовичка” драмаһы премьераһына  саҡыра ,"

Арыҫлан Мөбәрәков исемендәге Сибай дәүләт башҡорт драма театры 20 - 21 октябрь “Фронтовичка” драмаһы премьераһына (Анна Батурина, реж. Илсур Ҡаҙаҡбаев) саҡыра.
“Фронтовичка” пьесаһының төп геройы - Мария Небылица. 24 йәшлек ҡыҙ һуғыштан һуң хәрби госпиталдән тура Уралға юллана, сөнки бында уның һөйгәне Матвей Кравчуктың әсәһе йәшәй. Дөрөҫөн әйткәндә, башҡа уның барыр урыны ла юҡ. Тыныс тормошта ҡыҙ нисек йәшәр, ни менән шөғөлләнер, бәлки, командиры кәңәш иткән заводҡа эшкә барыр?
Әлегә ул киләсәк тормошоноң яҡты буласағына ышана, өмөт итә, сөнки иң ауыры артта ҡалды. Уны нисек ҡаршы алырҙар, яңы ерҙә үҙенә урын табырмы ул? Баҡтиһәң, тыныс тормошта ла көрәшергә, иң тәүҙә үҙ-үҙеңде еңергә кәрәк икән дә баһа...
 
 ",мәҙәниәт
 Миләүшә Иҙрисованың китабының исем туйы үтте ,"

Ә. Вәлиди исемендәге Милли китапханала  музыка белгесе, сәнғәт ғилеме кандидаты, Башҡортостандың атҡаҙанған сәнғәт эшмәкәре Миләүшә Иҙрисованың «1920-1940 йылдарҙа башҡорт композиторҙарының вокаль ижады. Профессионализмдың барлыҡҡа килеүе» китабының исем туйы үтте.
Монография милли мәҙәниәтебеҙ тарихындағы иң ҡатмарлы һәм ҡаршылыҡлы осорға бағышланған. Бер үк ваҡытта ул уңышлы мәлдәрҙе һәм СССР республикаларында “социалистик мәҙәниәт төҙөлөшө” барышындағы әсенеүле юғалтыуҙарҙы ла сағылдыра. Төплө һәм күләмле хеҙмәттә башҡорт халҡының халыҡ-йыр сәнғәте үҫешенең күп быуатлыҡ юлы этаптары; ХХ быуаттың тәүге яртыһында милли музыкаль элита формалашҡанда донъяуи ҡараш нигеҙҙәре; башҡорт сәнғәтенә нигеҙ һалыусы Ғәзиз Әлмөхәмәтов менән Иван Салтыковтың музыкаль-эстетик ҡараштары ла урын алған. Шулай уҡ тәүге башҡорт композиторҙары Ғәзиз Әлмөхәмәтов, Хәбибулла Ибраһимов, Мәсәлим Вәлиев, Камил Рәхимов һәм Таһир Кәримовтың вокаль ижады өлгөһөндә автор республикала башҡорт профессиональ музыка мәҙәниәте барлыҡҡа килеүҙең ҡануни нигеҙҙәрен билдәләй.
Сара барышында Өфөләге Музыка техникумына (хәҙерге Өфө сәнғәт училищеһы) нигеҙ һалыусы, тәүге этномузыколог, музыка белгесе И.В.Салтыковтың тыуыуына 130 йыл тулыуға арнап, «Иван Салтыков: Мин рәссам инем» документаль фильмы (сценарий авторы М. Иҙрисова, режиссеры Н.Принцева) күрһәтелде.
Презентацияла Башҡортостандың халыҡ артисы, С. Юлаев исемендәге дәүләт премияһы, композитор Ләйлә Исмәғилева, Рәсәйҙең һәм Башҡортостандың атҡаҙанған сәнғәт эшмәкәре, сәнғәт фәндәре докторы Евгения Скурко, Башҡортостандың атҡаҙанған сәнғәт эшмәкәре Гөлназ Ғәлина, Башҡортостандың атҡаҙанған мәҙәниәт хеҙмәткәре, журналист, яҙыусы Луиза Фархшатова, Рәсәйҙең һәм Башҡортостандың халыҡ артисы, С. Юлаев исемендәге дәүләт премияһы лауреаты Флүрә Килдейәрова ҡатнашты.
 ",мәҙәниәт
 Күгәрсен районында Венер һәм Рәмил Йәнбәковтарҙы иҫкә алыу саралары уҙҙы ,"

Күгәрсен районында күренекле милләттәштәребеҙ Венер һәм Рәмил Йәнбәковтарҙы иҫкә алыу саралары уҙҙы. Йылы осрашыуҙар уларҙың тыуған төйәгендә - Дауыт-Ҡайыпта, шулай уҡ Теләүембәт, Тәүәкән ауылдарында булды.
Унда Бөтә донъя башҡорттары ҡоролтайы, Башҡортостан Яҙыусылар союзы вәкилдәре, Йәнбәковтарҙың дуҫтары, ҡәләмдәштәре, ауылдаштары, ижадын ихтирам итеүселәр ҡатнашты. Сара мәрхүмдәрҙең ҡәберҙәренә зыярат ҡылыуҙан башланды. Унан Дауыт-Ҡайып мәҙәниәт йортондағы таҡтаташҡа сәскәләр һалынды.
Артабан Теләүембәт күп функциялы мәҙәниәт үҙәгендә күркәм сара уҙҙы. Унда ҡатнашыусылар Йәнбәковтар хаҡында йылы тәьҫораттары менән уртаҡлашты, ""Ағиҙел"" журналы редакцияһы уҙғарған шиғыр һөйләү конкурсына йомғаҡ яһалды.
Тәүәкән мәктәбендә ҡунаҡтар уҡыусылар менән осрашты. Сарала ҡатнашыусылар башҡорт әҙәбиәтенә, журналистикаһына ҙур өлөш индергән яҡташтарыбыҙҙы йылы һүҙҙәр менән иҫкә алды, йәш быуын вәкилдәренең һорауҙарына яуап бирҙе.
 ",мәҙәниәт
 Өфөлә Шәһит Хоҙайбирҙинды иҫкә алдылар ,"

Өфөлә билдәле дәүләт эшмәкәре, башҡорт совет журналистикаһына нигеҙ һалыусы, Башҡортостан Үҙәк һайлау комиссияһы рәйесе Шәһит Әхмәт улы Хоҙайбирҙиндың тыуған көнө уңайынан, Ленин паркында сәскәләр һалыу тантанаһы уҙҙы.
Бөйөк шәхесте хөрмәтләп иҫкә алырға Күгәрсен районының ""Оло Эйек"" яҡташтар берлегенең рәйесе, БР Дәүләт Йыйылышы - Ҡоролтай депутаты Илнур Сәлихов, Бөтә донъя башҡорттары ҡоролтайы аппараты етәксеһе Рөстәм Баянов, «Башҡортостан» телерадиокомпанияһы генераль директорының радиотапшырыуҙар буйынса урынбаҫары, Рәсәйҙең атҡаҙанған мәҙәниәт хеҙмәткәре Тәнзилә Үлмәҫбаева, Башҡорт филологияһы, шәрҡиәт һәм журналистика факультетының 2 курс студенттары килде.
 ",мәҙәниәт
 Башҡортостан Республикаһының Милли музейында  әҙәби кисә уҙғарылды ,"

Башҡортостан Республикаһының Милли музейында уҡытыусылар көнөнә арналған әҙәби кисә уҙҙы. Сараға уҡытыусы һөнәрен һайлаған, шулай уҡ шиғыр, хикәйәләр ижад иткән уҡытыусылар саҡырылды. Сарала танылған яҙыусы, 2-се һанлы Инйәр урта мәктәбенең башҡорт теле һәм әҙәбиәте уҡытыусыһы, «Ағиҙел», «Шоңҡар», «Аманат», «Башкортостан ҡыҙы» республика журналдарында йыш ҡына донъя күргән тәрән йөкмәткеле әҫәрҙәр авторы Әлиә Марс ҡыҙы Саматова, шулай уҡ яҙмышын балалар уҡытыуға бағышлап, балалар өсөн күп кенә шиғырҙар, йырҙар ижад иткән Фәйрүзә Хәбетдин ҡыҙы Кинйәбаева ҡатнашты. Әҙибәләр Өфө мәктәптәре уҡыусылары алдында сығыш яһаны.
Әҙәби кисәне Башҡортостан Республикаһының Милли музейы директоры урынбаҫары Гүзәл Асҡарова тәбрикләү һүҙе менән асып ебәрҙе. Фәйрүзә Кинйәбаева һүҙҙәренә, Артур Туҡтағолов көйөнә яҙылған видеоролик күрһәтелде. Фәйрүзә Кинйәбаева балаларға үҙенең шиғырҙарын уҡыны, һәр шиғырының кемдәргә бағышланыуын әйтеп үтте, уҡыусылар менән әңгәмә алып барҙы.
Әлиә Саматова үҙенең нисек ижадҡа килеүен һөйләп китте, әҫәрҙәренең яҙылыу тарихы менән таныштырҙы, әҫәренән өҙөктәр уҡыны. Ветеран уҡытыусы Нәғимә Сәлимйән ҡыҙы ҡәләм оҫталарының ижадына ҡарата үҙенең ҡарашын белдерҙе, фекерҙәре менән бүлеште. Байрам хөрмәтенә ҡурайҙа М.Кәрим һүҙҙәренә, А. Ҡобағошов музыкаһына ижад ителгән «Уҡытыусыма» йыры яңғыраны.
Сарала ҡатнашыусы уҡыусылар ҙур тәьҫораттар алды, саҡырылған әҙиптәргә үҙҙәрен ҡыҙыҡһындырған һорауҙар бирҙе, Әлиә Саматова иң ҡыҙыҡ һорау биргән уҡыусыға китабын бүләк итте.
Саранан һуң күмәкләп фотоға төшөү, музейҙың күргәҙмә залдары буйлап сәйәхәт итеү ойошторолдо.
Бындай Әҙәби кисәләр, ижади осрашыуҙар йәш быуын өсөн файҙалы. Уҡыусылар авторҙар менән осраша, уҙ фекерҙәрен еткерә, ижади процеста ҡатнаша. Яҙыусылар ҙа үҙенең аудиторияһын күрә, ижади йүнәлешен билдәләй, уҡыусыларҙы борсоған темаларҙы билдәләй.
 ",мәҙәниәт
" Башдрамда ""Килен"" спектакленең премьераһы үтте  ","

М.Ғафури исемендәге Башҡорт академия драма театры сәхнәһендә Заһиҙә Мусинаның повесы буйынса ҡуйылған “Килен” спектакленең премьераһы күрһәтелде.
Ҡуйыусы режиссеры – Фирғәт Ғарипов, БР атҡаҙанған артисы, ҡуйыусы рәссамы – Алина Нуриманова, композитор – Шәүрә Сәғитова, хореограф – Сулпан Асҡарова, БР атҡаҙанған артисы, инсценировка авторы – Зөһрә Бураҡаева, Ш.Бабич исемендәге Йәштәр республика дәүләт премияһы лауреты.
Ролдәрҙә: Лилиә Ғәлина, Сара Буранбаева, Эльвира Юнысова, Гөлфиә Рафиҡова, Гүзәл Маликова, Ирек Булатов, Айһылыу Йомағолова, Морат Рафиҡов, Айҙар Шәмсетдинов, Айым Сөләймәнова, Лилиә Сәғитова, Айнур Ғәбитов.
Тамашасы драманы йылы ҡабул итте. Яңы 104-се ижад миҙгеленең тәүге премьераһы ҙур аншлаг менән үтте.
 ",мәҙәниәт
