url,title,lead,content,data,category,tags
https://bash.bashinform.ru/news/social/2023-10-27/f-gend-22-8-million-umly-illyuminatsiya-uyyla-3496431,"Өфө үҙәгендә 22,8 миллион һумлыҡ иллюминация ҡуйыла",,"Өфө хакимиәте Пушкин урамындағы аллеяла иллюминация ҡуйыу өсөн подрядсы һайлап алыу конкурсын иғлан итте. Контракттың хаҡы – 22,8 миллион һум. Был мәғлүмәт дәүләт һатып алыуҙары сайтына урынлаштырылған, ғаризалар 2023 йылдың 2 ноябренә тиклем ҡабул ителә.
Металл конструкцияға беркетелгән «Йондоҙло күк» иллюминацияһын 24 ноябргәсә ҡуйыу планлаштырыла.
«Башинформ» Өфөнөң 450 йыллығына арналған саралар өсөн тирмәләр һатып алыуы тураһында ла хәбәр иткәйне.
https://www.bashinform.ru/news/social/2023-10-27/v-tsentre-ufy-ustanovyat-illyuminatsiyu-za-22-8-milliona-rubley-3496053","27 Октябрь , 17:22",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/r-s-y-u-ytyusylaryn-yg-esht-r-e-tikshere-n-azat-ite-re-ihtimal-3496271,Рәсәй уҡытыусыларын өйгә эштәрҙе тикшереүҙән азат итеүҙәре ихтимал,,"Рәсәйҙә дөйөм белем биреү өлкәһендәге дәүләт мәғлүмәт системаһын индереү планлаштырыла, ул өйгә эштәрҙе автоматик рәүештә тикшереүҙе күҙ уңында тоторға тейеш, тип хәбәр итә РИА Новости һанлы үҫеш, элемтә һәм киң коммуникациялар министры урынбаҫары Олег Качановҡа һылтанма менән.
Был уҡытыусыларҙың эшен кәметергә мөмкинлек бирергә тейеш. Шул уҡ ваҡытта белем биреү сифатына талаптарҙы үтәү мотлаҡ.
Бынан алдараҡ «Башинформ» республика уҡытыусыларына ярҙам саралары хаҡында яҙғайны.
https://www.bashinform.ru/news/social/2023-10-27/rossiyskih-uchiteley-mogut-osvobodit-ot-proverki-domashnih-zadaniy-3495970","27 Октябрь , 16:05",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/bash-ortostanda-polilingval-belem-bire-ge-oyoshtorola-3496184,Башҡортостанда полилингваль белем биреү үҙәге ойошторола,,"Илебеҙҙең иң ҙур байлығы – уның күп милләтле, күп телле, полимәҙәни булыуында. Халыҡ иҫәбен алыу мәғлүмәттәре буйынса, Рәсәйҙә 200-гә яҡын милләт йәшәй. Ошондай мәҙәни төрлөлөк һәм шул уҡ ваҡытта берҙәмлек – беҙҙең төп өҫтөнлөк. Бөгөн, 27 октябрҙә, Башҡортостан Башлығы Радий Хәбиров Өфөлә барған Полилингваль белем биреү буйынса халыҡ-ара форумда шул хаҡта белдерҙе.
«Бөгөн бында Мәскәүҙән, Алтай, Бүрәтстан, Саха (Яҡутстан), Төньяҡ Осетия-Алания, Удмуртстан, Ҡарасай-Черкес, Татарстан, Коми, Марий Эл, Дағстан республикаларынан килгән ҡәҙерле ҡунаҡтарыбыҙҙы, туғандаш Ҡаҙағстандан дуҫтарыбыҙҙы сәләмләүебеҙгә шатбыҙ.
Барыбыҙҙы ла туған телдәргә һөйөү һәм уларҙың киләсәген хәстәрләү берләштерә. Бер-беребеҙҙән өйрәнеү, тәжрибә уртаҡлашыу өсөн ошондай мәғариф форумдарын үткәрәбеҙ», - тине республика етәксеһе.
Был эш дүрт йыл элек башҡорт теле һәм әҙәбиәте уҡытыусыларының беренсе Бөтә Рәсәй съезында республикала полилингваль мәктәптәр селтәрен булдырырға тигән ҡарар ҡабул ителгәндән һуң башланды, тип иҫкә төшөрҙө Радий Хәбиров. 2019 йылда уҡ Өфөлә тәүге ике полилингваль гимназия барлыҡҡа килде. Һуңынан Стәрлетамаҡта, Нефтекамала, Сибайҙа, Учалыла, Хәйбулла һәм Мишкә райондарында асылды. Ә хәҙер улар һигеҙ.
«Әйткәндәй, республикала күптән туған телдәрҙе өйрәнеүҙең яҡшы традициялары бар. Беҙҙең балалар баҡсаларында һәм мәктәптәрҙә уҡытыу алты телдә алып барыла, 13 тел туған тел булараҡ өйрәнелә, 56 милли инновацион мәктәп уңышлы эшләй. Өҫтәмә белем биреү үҙәктәрендә төрлө халыҡтарҙың телдәрен һәм мәҙәниәтен өйрәнеү мөмкинлеге лә бар.
Нефтекамала – татар, Мишкә районында мари полилингваль мәктәбе уңышлы эшләп килә. Бишбүләк районында – сыуаш, Тәтешлелә удмурт телендә уҡытылған мәктәптәр асырға йыйынабыҙ. Белорет районының Уҫманғәле ауылында йыл әйләнәһенә балаларҙы ҡабул иткән республика полилингваль белем биреү үҙәген ойоштороу идеяһын тикшерәбеҙ», - тине Радий Хәбиров.
https://www.bashinform.ru/news/social/2023-10-27/v-bashkirii-budet-sozdan-polilingvalnyy-obrazovatelnyy-tsentr-s-kruglogodichnym-prebyvaniem-detey-3496034","27 Октябрь , 15:20",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/respublikala-283-me-d-n-ashyu-balany-ata-s-e-ber-m-posobie-al-an-3496055,Республикала 283 меңдән ашыу баланың ата-әсәһе берҙәм пособие алған,,"Башҡортостанда йыл башынан алып 283 меңдән ашыу баланың ата-әсәһе берҙәм пособие алған. Пособиелар социаль ҡаҙнасылыҡ форматында рәсмиләштерелә. Бының өсөн дәүләт хеҙмәттәре порталы аша бирелгән бер ғариза етә, ә ғаиләнең килеме һәм мөлкәте тураһында мәғлүмәттәрҙе белгестәр ведомство-ара документтар менән алмашыу барышында тикшерә, тип хәбәр иттеләр Рәсәй Социаль фонды Башҡортостан бүлексәһенең матбуғат хеҙмәтенән.
Рәсәйҙә берҙәм пособие 2023 йылдан индерелде. Пособие элек ғәмәлдә булған бер нисә пособиены берләштерҙе. Түләүҙе тәғәйенләгәндә ғаиләнең килеме һәм мөлкәте комплекслы баһалана, шулай уҡ ата-әсәләрҙең мәшғүллеге иҫәпкә алына.
Башинформ хәбәр иткәнсә, 2023 йылда республикаға балалар пособиеларын түләү өсөн федераль бюджеттан 5,4 миллиард һумдан ашыу аҡса бүленгән.
https://www.bashinform.ru/news/social/2023-10-27/v-bashkirii-edinoe-posobie-poluchili-roditeli-bolee-283-tysyach-detey-3495913","27 Октябрь , 14:34",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/respublikala-covid-19-men-n-auyryusylar-arta-3495823,Республикала COVID-19 менән ауырыусылар арта,,"Башҡортостан Һаулыҡ һаҡлау министрлығының 27 октябргә мәғлүмәттәренә ярашлы, һуңғы түлектә республикала коронавирус инфекцияһын йоҡтороуҙың 91 осрағы теркәлгән. Был кисәгегә ҡарағанда биш кешегә күберәк. Пандемия башланғандан алып бөтәһе 373 806 кеше сирләгән.
Әлеге ваҡытта 103 пациент стационарҙа дауалана (шул иҫәптән 60-ты үткән 62 кеше). Ә 1039 кеше өйҙә мәкерле сир менән көрәшә (516-һы – 60+).
Бөтәһе 366 554 кеше һауығып сыҡҡан, уларҙың 79-ы – һуңғы тәүлектә. 
https://www.bashinform.ru/news/social/2023-10-27/v-bashkirii-kolichestvo-zabolevshih-covid-19-rastet-3495288","27 Октябрь , 12:18",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/morat-tau-sa-y-y-gend-ya-alma-ar-yau-yryu-bashlandy-3495506,«Морат» тау саңғыһы үҙәгендә яһалма ҡар яуҙырыу башланды,,"Белорет районының тау саңғыһы үҙәктәре миҙгелде былтырғыға ҡарағанда иртәрәк асырға әҙерләнә. Абҙаҡта яһалма ҡар яуҙырыу системаһы 23 октябрҙә үк эшләй башланы. Ә бөгөн «Морат» тау саңғыһы ошондай эштәргә тотондо.
Район хакимиәте башлығы Андрей Иванюта хәбәр итеүенсә, ҡар генераторҙары Морат тауының көньяҡ битләүендә эшләй. Беренсе, дүртенсе һәм балалар трассаларында ҡар яуҙыралар. Бер үк ваҡытта 13 пушка эшләй.
«Беҙҙә көндәр һыуытты, шуға ҡар әҙерләүҙе уҙған йылға ҡарағанда иртәрәк башланыҡ. Битләүҙе тулыһынса ҡар менән ҡаплау һәм тау саңғыһы миҙгелен асыу һауа шарттарына бәйле», - тип билдәләне Андрей Иванюта.
Хәтерегеҙгә төшөрәбеҙ, «Башинформ» Башҡортостандың «Абҙаҡ», «Ятыкүл» һәм «Ҡандракүл» тау саңғыһы үҙәктәре «Рәсәй тауҙары» милли конкурсында ҡатнашыуға тәҡдим ителгәйне.
https://www.bashinform.ru/news/sport/2023-10-27/sklony-gornolyzhnogo-tsentra-mratkino-v-bashkirii-nachali-pokryvat-iskusstvennym-snegom-3495122","27 Октябрь , 11:01",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-27/bash-ortostan-bashly-y-salauat-yulaev-isemend-ge-ikense-batalon-a-h-rbi-bayra-tapshyr-y-3495390,Башҡортостан Башлығы Салауат Юлаев исемендәге икенсе батальонға хәрби байраҡ тапшырҙы,,"Радий Хәбиров Салауат Юлаев исемендәге икенсе батальонға хәрби байраҡ тапшырҙы. Башҡортостан Башлығы үҙенең телеграм-каналында яҙыуынса, ул бындай тантананы беренсе тапҡыр ғына үткәрмәй. Уның кәштәһендә республикабыҙҙан махсус хәрби операцияла ҡатнашҡан подразделениеларҙың флагтары өсөн урын етмәй. Бындай сарала һәр ваҡыт ике төрлө хис кисерәм, тине ул. Бер яҡтан, яугирҙәрҙең ошондай ҡатмарлы һәм мөһим ҡарар ҡабул иткәне өсөн ғорурлыҡ, ихтирам һәм рәхмәт тойғоһо. Икенсе яҡтан, уларҙың һәр ҡайһыһы өсөн ныҡ борсола.
«Республика хәрбиҙәребеҙҙең ғаиләләре тураһында хәстәрлек күрәсәк. Башҡортостанда һәм федераль кимәлдә күрһәтелгән ярҙам сараларын ғына күҙ уңында тотмайым. Кәрәк икән, һәр бер осраҡта ярҙам итербеҙ. Яугирҙәрҙе лә ярҙамһыҙ ҡалдырмайбыҙ. Махсус хәрби операция барған осорҙа беҙ бының буш һүҙҙәр түгел икәнен раҫланыҡ. Мобилизацияланған ир-егеттәр, ирекле подразделениелар менән бәйләнеш тотабыҙ, гуманитар ылау ебәрәбеҙ, үҙебеҙ ҙә алғы һыҙыҡҡа барып торабыҙ. Бындай эште еңеүгә тиклем дауам итербеҙ. Егеттәргә яҡшы итеп хеҙмәт итеүҙәрен теләйем. Иҫән-һау әйләнеп ҡайтығыҙ. Шуны белегеҙ: һеҙҙең артта - тотош республика. Эшләгеҙ, туғандар», - тип яҙҙы республика етәксеһе.
https://www.bashinform.ru/news/svo/2023-10-26/glava-bashkirii-vruchil-boevoe-znamya-vtoromu-batalonu-imeni-salavata-yulaeva-3494949","27 Октябрь , 10:16",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-26/f-l-r-smi-r-esht-neft-universitety-uramy-asyla-3494890,Өфөлә рәсми рәүештә Нефть университеты урамы асыла,"Шуға бәйле йома, 27 октябрҙә, яңы урамды ике сәғәткә ябалар. ","Баш ҡалала Өфө дәүләт нефть техник университеты хөрмәтенә аталған урам барлыҡҡа килде. Хакимиәттең матбуғат хеҙмәтендә белдереүҙәренсә, мэр Ратмир Мәүлиев ҡала советы ултырышында быйыл үҙенең 75 йыллығын билдәләгән юғары йортоноң башланғысы менән ошондай тәҡдим индергәйне.
Хәҙер Матвей Пинский һәм Космонавтар урамдары араһында урынлашҡан  240 метр оҙонлоғондағы участка Нефть университеты урамы тип атала.
27 октябрҙә уны рәсми асыу сараһы була. Шуға яңы урамды көндөҙгө сәғәт икенән өскә тиклем ябып торалар.
Ҡунаҡтар һәм ҡатнашыусылар Нефть университеты һәм Космонавтар урамдары киҫешкән урында йыйыла.
«Маршрутты алдан билдәләүҙәрен һорайбыҙ», — тип белдерҙеләр мэрияла.
https://www.bashinform.ru/news/social/2023-10-26/v-ufe-ofitsialno-otkroyut-ulitsu-neftyanogo-universiteta-3494851","26 Октябрь , 17:11",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-26/bash-ortostanda-y-sh-shaymoratovsylar-klubtaryn-asyr-a-yyyynalar-3494874,Башҡортостанда йәш шайморатовсылар клубтарын асырға йыйыналар,,"Башҡортостанда мәктәпкәсә йәштәге балалар һәм 1-4 класс уҡыусылары өсөн йәш шайморатовсылар клубтары барлыҡҡа килеүе ихтимал. Был хаҡта Республикаға идара итеү үҙәгенән «Сәләм» тапшырыуының тура эфирында Мәғариф һәм фән министрлығының милли белем биреү идаралығы начальнигы Илдус Ҡаһарманов хәбәр итте.
Студия ҡунағы билдәләүенсә, хәҙер Башҡортостанда Рәсәй Геройы Миңлеғәле Шайморатов исемендәге 185 махсус класс эшләй, унда дүрт меңдән ашыу бала шөғөлләнә, был һан йылдан-йыл арта.
«Йәй һәм ҡыш көндәрендә данлыҡлы генерал исемендәге күсмә кубокка шайморатов уйындары ойошторабыҙ. 2023 йылда тәүге тапҡыр биш көнлөк ике профилле смена эшләне, тәүҙә — бишенселәр, аҙаҡ 6-7 кластар өсөн. Балалар хәрби һәм тактик күнекмәләрҙе үҙләштерҙе, медицина ярҙамы күрһәтергә өйрәнде. Киләһе йылда республикала «Патриот» паркы филиалдары асылғас, ошондай сменалар булдырырға әҙерләнәбеҙ», — тип һөйләне Илдус Ҡаһарманов.
Хәтерегеҙгә төшөрәбеҙ, генерал-майор Миңлеғәле Шайморатов исемендәге кластар Башҡортостан Башлығы Радий Хәбировтың ҡушыуы буйынса ойошторола. Тәүгеләре Рәми Ғарипов исемендәге республика гимназия-интернатында, Өфөнөң 44-се һәм 162-се полилингваль мәктәптәрендә асылды.
https://www.bashinform.ru/news/social/2023-10-26/v-bashkirii-planiruyut-otkryt-kluby-yunyh-shaymuratovtsev-3494641","26 Октябрь , 16:57",Йәмғиәт,Na
https://bash.bashinform.ru/news/social/2023-10-26/bash-ortostan-h-k-m-tend-bitlek-rezhimy-inderelde-3494598,Башҡортостан хөкүмәтендә битлек режимы индерелде,,"Киҫкен респиратор вирус инфекцияһы һәм башҡа вирус инфекцияларын йоҡтормау өсөн өсөн Башҡортостан хөкүмәтендә битлек режимы индерелде. Был хаҡта «Башинформ» агентлығына республика хөкүмәтенең матбуғат хеҙмәтенән хәбәр иттеләр.
Хөкүмәт аппараты хәҙер штат режимында эшләй, тип өҫтәнеләр матбуғат хеҙмәтендә.
https://www.bashinform.ru/news/social/2023-10-26/v-pravitelstve-bashkirii-vveden-masochnyy-rezhim-3494359","26 Октябрь , 15:07",Йәмғиәт,Na
